Year,CO2
-438711,201.7
-437114,200.3
-437114,200.3
-437114,200.3
-437114,200.3
-435536,207.5
-435536,207.5
-435536,207.5
-435536,207.5
-433991,209.8
-433991,209.8
-433991,209.8
-432430,207.6
-432430,207.6
-432430,207.6
-431901,211.5
-431901,211.5
-430230,227.2
-430230,227.2
-430230,227.2
-430230,227.2
-429075,219.7
-429075,219.7
-429075,219.7
-427229,242.5
-427229,242.5
-427229,242.5
-426891,248.2
-425992,252.1
-425992,252.1
-425206,255.3
-424673,265.4
-424673,265.4
-424288,270
-423792,270.8
-423183,268.3
-422559,267.7
-422559,267.7
-421276,270.6
-421276,270.6
-421276,270.6
-420584,266.4
-419963,268.6
-419963,268.6
-418753,273.8
-418753,273.8
-418753,273.8
-418185,271.2
-417627,273.7
-417627,273.7
-416556,274.6
-416556,274.6
-416008,271.8
-415491,273.4
-415491,273.4
-414476,271.7
-413997,276.4
-413997,276.4
-413231,271.6
-413231,271.6
-412262,264.9
-412262,264.9
-411310,274.9
-411310,274.9
-411310,274.9
-409399,283.5
-409399,283.5
-409399,283.5
-409399,283.5
-408505,282.6
-408505,282.6
-407649,274.7
-407649,274.7
-406870,284.5
-406870,284.5
-405333,285.6
-405333,285.6
-405333,285.6
-404594,279.6
-404594,279.6
-404594,279.6
-403114,280.5
-403114,280.5
-402364,276.5
-402364,276.5
-402364,276.5
-400911,275.7
-400911,275.7
-400192,283.1
-400192,283.1
-400192,283.1
-398761,283.2
-398761,283.2
-397977,277.1
-397977,277.1
-397977,277.1
-396326,276.3
-396326,276.3
-396326,276.3
-396326,276.3
-396326,276.3
-396326,276.3
-392957,260.7
-392957,260.7
-392957,260.7
-392957,260.7
-392957,260.7
-392055,273.6
-392055,273.6
-391028,259.5
-391028,259.5
-390338,258.1
-390338,258.1
-390338,258.1
-390338,258.1
-387461,245.8
-387461,245.8
-387461,245.8
-387461,245.8
-387461,245.8
-385876,246.8
-385876,246.8
-385876,246.8
-385876,246.8
-384335,239.1
-384335,239.1
-384335,239.1
-384335,239.1
-382608,240
-382608,240
-382608,240
-382608,240
-380982,227
-380982,227
-380982,227
-380982,227
-380982,227
-380982,227
-380982,227
-376811,229.6
-376811,229.6
-376811,229.6
-376811,229.6
-376811,229.6
-376811,229.6
-375086,224.6
-375086,224.6
-375086,224.6
-375086,224.6
-375086,224.6
-373256,214.7
-373256,214.7
-373256,214.7
-373256,214.7
-371509,199.9
-371509,199.9
-371509,199.9
-371509,199.9
-369437,201.9
-369437,201.9
-369437,201.9
-369437,201.9
-369437,201.9
-369437,201.9
-366117,206.3
-366117,206.3
-366117,206.3
-366117,206.3
-366117,206.3
-366117,206.3
-366117,206.3
-366117,206.3
-363241,201.2
-363241,201.2
-363241,201.2
-363241,201.2
-363241,201.2
-363241,201.2
-360619,185.8
-360619,185.8
-360619,185.8
-360619,185.8
-360619,185.8
-358735,186.1
-358735,186.1
-358735,186.1
-358735,186.1
-357061,193
-357061,193
-357061,193
-357061,193
-357061,193
-357061,193
-353869,209.2
-353869,209.2
-353869,209.2
-353869,209.2
-353869,209.2
-352464,209.4
-352464,209.4
-352464,209.4
-351226,216.2
-351226,216.2
-351226,216.2
-351226,216.2
-349727,221.1
-349727,221.1
-349727,221.1
-349727,221.1
-347190,220.3
-347190,220.3
-347190,220.3
-347190,220.3
-347190,220.3
-345596,211.9
-345596,211.9
-345596,211.9
-344372,204.8
-344372,204.8
-344372,204.8
-343052,205.2
-343052,205.2
-343052,205.2
-341975,200.7
-341975,200.7
-341975,200.7
-340843,250.1
-340843,250.1
-340843,250.1
-338786,234.2
-338786,234.2
-338786,234.2
-338786,234.2
-338035,239.6
-338035,239.6
-337042,241.9
-337042,241.9
-336265,255.7
-336265,255.7
-335568,270.5
-334919,278.6
-334429,285.8
-334429,285.8
-333759,278.1
-333153,298.6
-333153,298.6
-332400,289.1
-332049,282.4
-331551,273.1
-330850,272.6
-330850,272.6
-330195,271.7
-330195,271.7
-329345,265
-329345,265
-328104,275.1
-328104,275.1
-327465,271.9
-327465,271.9
-326822,270.1
-326138,266.1
-326138,266.1
-325487,264
-325487,264
-324642,266.2
-324642,266.2
-323874,260.5
-323058,260.3
-323058,260.3
-322218,260.4
-322218,260.4
-321434,257.2
-321434,257.2
-321434,257.2
-319868,249.2
-319868,249.2
-319868,249.2
-318967,255.8
-318967,255.8
-317881,233.4
-317881,233.4
-317881,233.4
-316904,245.2
-316904,245.2
-315984,251.6
-315984,251.6
-315201,272.6
-315201,272.6
-314502,246.8
-313709,257.1
-313709,257.1
-312887,256.7
-312887,256.7
-312103,251.6
-312103,251.6
-311394,241.9
-310644,239
-310644,239
-309721,237.8
-309721,237.8
-308827,233.2
-308827,233.2
-308062,226.2
-308062,226.2
-307475,227.8
-307475,227.8
-306377,225.8
-306377,225.8
-305514,244.8
-305514,244.8
-304632,248.6
-304632,248.6
-303829,250.2
-303829,250.2
-303151,240.7
-303151,240.7
-302152,240.2
-302152,240.2
-301167,236
-301167,236
-301167,236
-300135,239
-300135,239
-299077,236.1
-299077,236.1
-298167,231
-298167,231
-297427,224.4
-297427,224.4
-296756,217.1
-296756,217.1
-296756,217.1
-294880,213.1
-294880,213.1
-294880,213.1
-294880,213.1
-293415,212.7
-293415,212.7
-292506,206.7
-292506,206.7
-291702,206
-291702,206
-290869,207.6
-290869,207.6
-290869,207.6
-289614,217.1
-289614,217.1
-288915,220.4
-288915,220.4
-288235,234.9
-288235,234.9
-288235,234.9
-286337,231
-286337,231
-285871,230.4
-285495,231.4
-285495,231.4
-284661,226.4
-284661,226.4
-283982,228
-283982,228
-282486,231.3
-282486,231.3
-282486,231.3
-282486,231.3
-280644,223.7
-280644,223.7
-280644,223.7
-279452,215.3
-279452,215.3
-279452,215.3
-278610,211
-278610,211
-277670,204.5
-277670,204.5
-276642,202.2
-276642,202.2
-276642,202.2
-275494,193.2
-275494,193.2
-274309,198.4
-274309,198.4
-274309,198.4
-273206,194.1
-273206,194.1
-273206,194.1
-272215,193.9
-272215,193.9
-271217,190.4
-271217,190.4
-270201,184.7
-270201,184.7
-270201,184.7
-269087,198.8
-269087,198.8
-267991,194.2
-267991,194.2
-267991,194.2
-267047,187.2
-267047,187.2
-266309,188.7
-266309,188.7
-265058,211.7
-265058,211.7
-264185,199.9
-264185,199.9
-264185,199.9
-262635,228.1
-262635,228.1
-262635,228.1
-262635,228.1
-260868,214.6
-260868,214.6
-260868,214.6
-260106,208.9
-260106,208.9
-259345,205.7
-258945,209.6
-258945,209.6
-257448,203.9
-257448,203.9
-257448,203.9
-257448,203.9
-255959,204
-255959,204
-255112,201.9
-255112,201.9
-254350,199
-254350,199
-254350,199
-252638,195.4
-252638,195.4
-252638,195.4
-251808,196.7
-251808,196.7
-251005,195.4
-251005,195.4
-250183,213.9
-250183,213.9
-249442,200.2
-249442,200.2
-249442,200.2
-247151,214.7
-247151,214.7
-247151,214.7
-247151,214.7
-247151,214.7
-247151,214.7
-244921,219.4
-244921,219.4
-244921,219.4
-244240,230.4
-243615,236.7
-243615,236.7
-243108,249.9
-242633,252.3
-242173,263.7
-242173,263.7
-241190,280.2
-240736,279
-240736,279
-239906,263.2
-239384,259.7
-239384,259.7
-238241,252.8
-238241,252.8
-237790,247.4
-237438,245.8
-237059,245.6
-236476,239.1
-235957,243.1
-235957,243.1
-235443,247.4
-234902,241.4
-234477,252.1
-234042,245.2
-234042,245.2
-234042,245.2
-234042,245.2
-230907,241.6
-230907,241.6
-230907,241.6
-230907,241.6
-230907,241.6
-230243,233.9
-230243,233.9
-229181,232.4
-229181,232.4
-229181,232.4
-227623,224.5
-227623,224.5
-226818,233.1
-226818,233.1
-226490,234.5
-225771,235.5
-225771,235.5
-224901,215.7
-224311,203.3
-224311,203.3
-224311,203.3
-222323,205.6
-222323,205.6
-222323,205.6
-222323,205.6
-221180,208.8
-221180,208.8
-220591,207.1
-220591,207.1
-219748,216.1
-219748,216.1
-218987,214.1
-218987,214.1
-218987,214.1
-217119,240.5
-217119,240.5
-217119,240.5
-216252,245.3
-215746,251.1
-215467,251.7
-214916,247.5
-214916,247.5
-214357,242.6
-213963,240.3
-213132,241.4
-213132,241.4
-212210,251.2
-212210,251.2
-211381,243.4
-211381,243.4
-210584,257.4
-210584,257.4
-210130,239.5
-209629,246.9
-209109,252
-208883,247.2
-208226,243.9
-208017,244.6
-207496,242.2
-206873,230
-206326,237.2
-206160,238.1
-205674,231.4
-205291,229.4
-204948,226.3
-204411,228.6
-203996,232.2
-203627,231.9
-203254,244.4
-203254,244.4
-201893,247.6
-201893,247.6
-201893,247.6
-200795,239.1
-200795,239.1
-199803,250.9
-199803,250.9
-199803,250.9
-199803,250.9
-196989,242.6
-196989,242.6
-196989,242.6
-196989,242.6
-196378,241.2
-196378,241.2
-195638,226.4
-195638,226.4
-195638,226.4
-193851,220
-193851,220
-193851,220
-193178,226.5
-193178,226.5
-193178,226.5
-191125,218
-191125,218
-191125,218
-191125,218
-190015,220.3
-190015,220.3
-189305,231.4
-189305,231.4
-187857,231.3
-187857,231.3
-187857,231.3
-186488,210.7
-186488,210.7
-186488,210.7
-186488,210.7
-184462,203.4
-184462,203.4
-184462,203.4
-184462,203.4
-184462,203.4
-182422,199.7
-182422,199.7
-182422,199.7
-182422,199.7
-181309,198.1
-181309,198.1
-180247,217.7
-180247,217.7
-180247,217.7
-179353,213.2
-179353,213.2
-177924,207.7
-177924,207.7
-177924,207.7
-177924,207.7
-175781,190.1
-175781,190.1
-175781,190.1
-175585,189.4
-174904,190.3
-174904,190.3
-173884,196
-173884,196
-173884,196
-172493,197.7
-172493,197.7
-172493,197.7
-172493,197.7
-172493,197.7
-169990,197.8
-169990,197.8
-169990,197.8
-169990,197.8
-169990,197.8
-167565,196.6
-167565,196.6
-167565,196.6
-167565,196.6
-166797,183.8
-166797,183.8
-165965,186.7
-165965,186.7
-164835,190.1
-164835,190.1
-164194,191.6
-164194,191.6
-164194,191.6
-162386,196.5
-162386,196.5
-162386,196.5
-161909,204.3
-161909,204.3
-161909,204.3
-161909,204.3
-161909,204.3
-158206,187.5
-158206,187.5
-158206,187.5
-158206,187.5
-157767,185.5
-157767,185.5
-156717,189
-156717,189
-156717,189
-156717,189
-154358,189.38
-154358,189.38
-154358,189.38
-154358,189.38
-152940,196.3
-152940,196.3
-152940,196.3
-151826,198.78
-151826,198.78
-151826,198.78
-151826,198.78
-149496,202.35
-149496,202.35
-149496,202.35
-149496,202.35
-148646,202.51
-148646,202.51
-147517,201.78
-147517,201.78
-147517,201.78
-146284,195.81
-146284,195.81
-146284,195.81
-146284,195.81
-144159,193.59
-144159,193.59
-144159,193.59
-144159,193.59
-142851,196.02
-142851,196.02
-142851,196.02
-141702,194.59
-141702,194.59
-141702,194.59
-140412,196.51
-140412,196.51
-140412,196.51
-140412,196.51
-138001,192.75
-138001,192.75
-138001,192.75
-138001,192.75
-136885,198.55
-136885,198.55
-136885,198.55
-135814,199.18
-135814,199.18
-134617,203.74
-134617,203.74
-134617,203.74
-134617,203.74
-132573,212.43
-132573,212.43
-132573,212.43
-131827,222.74
-131827,222.74
-130983,224.63
-130761,228
-130761,228
-130027,232.28
-129373,241.13
-128869,250.84
-128869,250.84
-128424,251.84
-127707,260.61
-127129,268.44
-126929,271.08
-126518,285.76
-126075,276.03
-125555,276.88
-125365,275.78
-124751,273.02
-124065,275.15
-124065,275.15
-123344,276.81
-122868,275.52
-122868,275.52
-122456,281.54
-121682,274.6
-121682,274.6
-121065,279.16
-120343,279
-120151,278.25
-119477,279.48
-119477,279.48
-118594,276.82
-118195,268.73
-117767,274.59
-117294,267.74
-117294,267.74
-116709,277.72
-116709,277.72
-115670,274.98
-115237,274.03
-115237,274.03
-114527,273.63
-113960,273.16
-113498,276.96
-113498,276.96
-112866,275.07
-112301,267.9
-111730,260.58
-111730,260.58
-110993,263.12
-110687,256.79
-109928,257.93
-109928,257.93
-109928,257.93
-108606,246.69
-108606,246.69
-107891,244.13
-107891,244.13
-107180,244.44
-106453,236.43
-106453,236.43
-106453,236.43
-105026,240.34
-105026,240.34
-104419,244.83
-104307,241.4
-103558,248.78
-103558,248.78
-103017,242.36
-102382,238.88
-102325,247.7616293
-101360,240.6840721
-101360,240.6840721
-100816,237.0732756
